fid,objectid,uid,name,subdistrict,district,state,country,censusname,villagename_locallang,lgd_villagename,lgd_villagecode,lgd_subdistrictcode,lgd_districtcode,lgd_statecode,censuscode2011,premiumdata.sde.VillageBoundary26.area,level_2011,tru_2011,st_area(shape),st_perimeter(shape),slope5_mean,slope_Risk
1,206621,"182862063234730",102 No Nelami Grant,Dibrugarh West,Dibrugarh,Assam,India,102 No-Nelami Grant,,Nelami Grant,291190,2063,286,18,"291190",2.04543542,Village,Rural,2598660.31405919,7201.94283562863,0.256636685032523,0.0481632177524871
2,210583,"182862063236012",29 No Nelami Grant,Dibrugarh West,Dibrugarh,Assam,India,29 No-Nelami Grant,,Nelami Grant,291188,2063,286,18,"291188",0.56811988,Village,Rural,721626.767650305,3370.16749247845,0.67831367298398,0.127299684892191
3,206409,"182862066235271",2 No Dulia,Tengakhat,Dibrugarh,Assam,India,2 No. Dulia,,Dulia,291582,2066,286,18,"291582",0.23938119,Village,Rural,304582.796123913,2606.75349980965,1.0618045963347,0.199269741881909
4,206690,"182862066235191",2 No Naohalia,Tengakhat,Dibrugarh,Assam,India,2 No. Naohalia,,Naohalia,291571,2066,286,18,"291571",2.43369687,Village,Rural,3097844.17976954,10227.7385175217,0.949348831002833,0.178165075912136
5,205138,"182862069235554",Abhaipuria Gaon,Naharkatiya,Dibrugarh,Assam,India,Abhaipuria Gaon,,Abhaipuria Gaon,292402,2069,286,18,"292402",1.56164468,Village,Rural,1982734.72055681,6075.40981398267,0.520168144904559,0.0976203835697559
6,206612,"182862066235235",Abhoipuria,Tengakhat,Dibrugarh,Assam,India,Abhoipuria,,Abhoipuria,291490,2066,286,18,"291490",2.37968692,Village,Rural,3030025.5143061,7141.04822817287,0.748244200433574,0.140423604493453
7,212335,"182862067235728",Abhoipuria Bongali,Moran,Dibrugarh,Assam,India,Abhoipuria Bongali,,Abhoipuria Bongali,291994,2067,286,18,"291994",0.20572129,Village,Rural,261017.461446367,2199.64634094151,0.411292345477984,0.0771875727457941
8,210356,"182862069235611",Achabam Chah Bagicha,Naharkatiya,Dibrugarh,Assam,India,Achabam Chah Bagicha 334/347 N,,Achabam Chah Bagicha,292367,2069,286,18,"292367",7.08469313,Village,Rural,8997882.6157068,19101.1949281915,0.637545011336895,0.119648596630444
9,211346,"182862069235616",Achabam Chah Bagicha Appl,Naharkatiya,Dibrugarh,Assam,India,Achabam Chah Bagicha Appl,,Achabam Chah Bagicha Appl,292360,2069,286,18,"292360",1.97897438,Village,Rural,2513544.76311468,8510.97233929974,0.735323867623427,0.137998835008565
10,206726,"182862064234918",Agni Pothar Gaon,Dibrugarh East,Dibrugarh,Assam,India,Agni Pothar Gaon,,Agni Pothar Gaon,291313,2064,286,18,"291313",1.88258847,Village,Rural,2398882.82039515,6405.76834020417,0.607175545985641,0.113949134090419
